code;url;product_name;brands;stores;nutrition_grade_fr;categories;main_category_fr;countries_fr;image_url;image_small_url;last_modified_t
3268350120220;http://world-fr.openfoodfacts.org/produit/3268350120220/fourres-figue-le-moulin-du-pivert;fourrés figue;Le moulin du pivert;;c;Biscuits,Biscuits fourrés;Biscuits;France;http://fr.openfoodfacts.org/images/products/326/835/012/0220/front.15.400.jpg;http://fr.openfoodfacts.org/images/products/326/835/012/0220/front.15.200.jpg;1443084118
3268350120282;http://world-fr.openfoodfacts.org/produit/3268350120282/twibio-fourres-myrtille-le-moulin-du-pivert;twibio fourrés myrtille;le moulin du pivert;Biocoop;d;biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/326/835/012/0282/front.16.400.jpg;http://fr.openfoodfacts.org/images/products/326/835/012/0282/front.16.200.jpg;1440616837
3268350120398;http://world-fr.openfoodfacts.org/produit/3268350120398/piwibio-le-moulin-du-pivert;piwibio;Le moulin du pivert;;d;Biscuits,Biscuits au chocolat;Biscuits;France;http://fr.openfoodfacts.org/images/products/326/835/012/0398/front.7.400.jpg;http://fr.openfoodfacts.org/images/products/326/835/012/0398/front.7.200.jpg;1443016185
3268350120442;http://world-fr.openfoodfacts.org/produit/3268350120442/tentation-orange-le-moulin-du-pivert;Tentation orange;Le moulin du pivert;Leclerc;e;Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/326/835/012/0442/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/326/835/012/0442/front.3.200.jpg;1443016253
3268350120459;http://world-fr.openfoodfacts.org/produit/3268350120459/tentation-gingembre-citron-le-moulin-du-pivert;Tentation gingembre-citron;Le Moulin du Pivert;;e;Biscuits au chocolat;Biscuits;France;http://fr.openfoodfacts.org/images/products/326/835/012/0459/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/326/835/012/0459/front.8.200.jpg;1514500169
3268350120466;http://world-fr.openfoodfacts.org/produit/3268350120466/tentation-noisette-le-moulin-du-pivert;Tentation Noisette;Le moulin du Pivert;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;http://fr.openfoodfacts.org/images/products/326/835/012/0466/front.10.400.jpg;http://fr.openfoodfacts.org/images/products/326/835/012/0466/front.10.200.jpg;1455882761
3268350120534;http://world-fr.openfoodfacts.org/produit/3268350120534/biscuits-p-tit-dej-bio-cereales-chocolat-et-miel-le-moulin-du-pivert;Biscuits P'tit Déj' bio - Céréales, chocolat et miel;Le Moulin du Pivert;Les Nouveaux Robinson;d;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/326/835/012/0534/front.5.400.jpg;http://fr.openfoodfacts.org/images/products/326/835/012/0534/front.5.200.jpg;1497946363
3268350120640;http://world-fr.openfoodfacts.org/produit/3268350120640/plaisir-chataigne-chocolat-noir-le-moulin-du-pivert;Plaisir châtaigne - chocolat noir;Le moulin du pivert;;d;Sugary snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Dark chocolate biscuits;Biscuits;France;;;1479309190
3268350120664;http://world-fr.openfoodfacts.org/produit/3268350120664/plaisir-noisette-chocolat-au-lait-le-moulin-du-pivert;Plaisir noisette chocolat au lait;Le Moulin du Pivert;Biocoop;d;Sugary snacks,Biscuits and cakes,Milk chocolate biscuits;Biscuits;France;;;1479309593
3268350120718;http://world-fr.openfoodfacts.org/produit/3268350120718/biscuits-p-tit-dej-bio-cereales-chocolat-et-miel-le-moulin-du-pivert;Biscuits P'tit Déj' bio - Céréales, chocolat et miel;Le Moulin du Pivert;Les Nouveaux Robinson;d;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/326/835/012/0718/front.3.400.jpg;http://fr.openfoodfacts.org/images/products/326/835/012/0718/front.3.200.jpg;1443017072
