code;url;product_name;brands;stores;nutrition_grade_fr;categories;main_category_fr;countries_fr;image_url;image_small_url;last_modified_t;energy_100g;fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g
7622210094124;http://world-fr.openfoodfacts.org/produit/7622210094124/digestive-go-fontaneda;Digestive Go!;Fontaneda,Mondelēz;Noz;d;Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/762/221/009/4124/front_fr.7.400.jpg;https://static.openfoodfacts.org/images/products/762/221/009/4124/front_fr.7.200.jpg;1439543019;2035.0;22.0;61.0;23.5;5.5;8.6;1.1
7622210100917;http://world-fr.openfoodfacts.org/produit/7622210100917/choco-pause-milka;Choco Pause;Milka;Géant Casino;e;en:sugary-snacks, en:biscuits-and-cakes, en:biscuits, en:chocolate-biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/762/221/010/0917/front_fr.23.400.jpg;https://static.openfoodfacts.org/images/products/762/221/010/0917/front_fr.23.200.jpg;1524961225;2121.0;24.0;65.0;35.0;2.3;5.7;0.6
7622210121233;http://world-fr.openfoodfacts.org/produit/7622210121233/choco-prince-gout-choco;Choco Prince Goût Choco;Prince,LU,Mondelez;Auchan;d;Biscuits fourrés,Biscuits au chocolat,Biscuits au chocolat au lait,Biscuits et gâteaux;Biscuits;France;https://static.openfoodfacts.org/images/products/762/221/012/1233/front_fr.4.400.jpg;https://static.openfoodfacts.org/images/products/762/221/012/1233/front_fr.4.200.jpg;1492806195;2008.0;20.0;66.0;40.0;4.0;6.1;0.43
7622210137258;http://world-fr.openfoodfacts.org/produit/7622210137258/double-oreo;Double Oreo;Oreo,Mondelez;Irma.dk;e;Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/762/221/013/7258/front_fr.30.400.jpg;https://static.openfoodfacts.org/images/products/762/221/013/7258/front_fr.30.200.jpg;1523377194;2092.0;23.0;68.0;43.0;2.4;4.0;0.7
7622210137289;http://world-fr.openfoodfacts.org/produit/7622210137289/granola-gout-caramel-lu;Granola goût caramel;Lu,Mondelez;Auchan,Monoprix,Super U;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat au lait,Biscuits sablés;Biscuits;France;https://static.openfoodfacts.org/images/products/762/221/013/7289/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/762/221/013/7289/front_fr.8.200.jpg;1525702050;2071.0;23.0;64.0;32.0;3.2;6.7;1.1
7622210144300;http://world-fr.openfoodfacts.org/produit/7622210144300/prince-gout-chocolat-maxi-format-x4-lu;Prince goût chocolat maxi format x4;LU;Musée d'histoire naturelle;d;en:sugary-snacks, en:biscuits-and-cakes, en:biscuits, en:chocolate-biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/762/221/014/4300/front_fr.16.400.jpg;https://static.openfoodfacts.org/images/products/762/221/014/4300/front_fr.16.200.jpg;1514500080;1946.0;17.0;69.0;32.0;4.7;6.3;0.5
7622210144317;http://world-fr.openfoodfacts.org/produit/7622210144317/prince-gout-chocolat-lu;Prince Goût Chocolat;LU,Mondelez;;d;Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/762/221/014/4317/front_fr.14.400.jpg;https://static.openfoodfacts.org/images/products/762/221/014/4317/front_fr.14.200.jpg;1513198836;1946.0;17.0;69.0;32.0;4.0;6.4;0.5799999999999991
7622210144461;http://world-fr.openfoodfacts.org/produit/7622210144461/prince-gout-chocolat-8-4-paquets-gratuits-lu;Prince goût chocolat 8+4 paquets gratuits;Lu,Mondelez;Auchan;d;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/762/221/014/4461/front_fr.7.400.jpg;https://static.openfoodfacts.org/images/products/762/221/014/4461/front_fr.7.200.jpg;1425828284;1970.0;17.0;71.0;33.0;3.3;6.0;0.635
7622210234124;http://world-fr.openfoodfacts.org/produit/7622210234124/granola-l-original-lu;Granola L'Original;LU;;e;en:sugary-snacks, en:biscuits-and-cakes, en:biscuits, en:chocolate-biscuits, en:milk-chocolate-biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/762/221/023/4124/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/762/221/023/4124/front_fr.8.200.jpg;1502658591;2092.0;24.0;63.0;30.0;3.3;7.0;1.21
7622210245304;http://world-fr.openfoodfacts.org/produit/7622210245304/prince-gout-chocolat-lu;Prince goût chocolat;LU;;d;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/762/221/024/5304/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/762/221/024/5304/front_fr.8.200.jpg;1437811932;1946.0;17.5;68.0;32.0;4.2;6.5;0.57
